STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
ORISSA,1959,33.89538462,29.44307692,44.5223077,52.70769231,39.79461538,44.56153846,43.87076923,34.41692308,36.77,32.38153846,284.9276923,0,33.81615385,72.57615385,64.34,96.65230769,36.77,0,0,64.3
TAMIL_NADU,1959,36.05833333,30.65833333,61.8,45.69416667,36.169758,47.08416667,52.475,34.7,42.875,34.7,176.9075,25.559961,42.875,73.755,59.07727,91.38666667,37.57305058,0,0,0
MAHARASHTRA,1959,36.992,38.304,57.864,54.236,41.42107,54.688,39.676,39.96,42.4,39.96,322.94,39.04,42.4,82.488,72.018005,97.456,64.2,0,0,0
PUNJAB,1959,35.083,31.8296,38.563,46.424,16.6447,41.238082,32.516,33.908,33.4772,33.908,183.766358,27.9552,33.4772,85.9694,63.7256,74.974,33.4772,0,0,0
KARNATAKA,1959,37.05263158,31.17894737,60.7421053,45.59473684,39.384846,55.49578947,73.83157895,35.87894737,52.43263158,35.87894737,264.78,25.559961,52.43263158,70.49084,74.40253,89.81052632,43.89578947,0,0,0
PUNJAB,1960,38.565,33.2549,39.284,42.714,25.0509,47.7465547,34.209,33.678,35.0472,33.678,183.37516,29.0885,35.0472,87.8325,70.9969,84.014,35.0472,0,0,0
ORISSA,1960,31.50076923,29.79,42.6230769,44.07153846,33.04846154,53.33076923,45.94615385,34.68153846,36.36,29.19923077,264.4753846,0,36.87461538,88.08076923,74.94461538,103.8392308,36.36,0,0,148.08
UTTAR_PRADESH,1960,32.86520833,33.704875,40.2325,45.80541667,14.04414583,48.94710417,27.69104167,37.353125,34.38635417,37.353125,77.77837,30.20352083,34.38635417,92.67072917,68.44789583,87.79874,34.38635417,0,0,88.73270833
HARYANA,1960,29.58666667,30.14083333,41.1866667,42.05876283,20.978034,52.134349,28.88833333,36.44666667,34.62466667,36.44666667,165.354,30.09233333,34.62466667,77.3765,68.06383333,91.78166667,34.62466667,0,0,0
RAJASTHAN,1960,13.46923077,12.79230769,17.7,48.78280046,30.248634,63.05182035,30.76538462,15.59615385,37.00444308,15.59615385,209.6197113,35.23408315,37.00444308,97.35950469,81.66533296,171.6723832,26.07107804,0,0,0
ANDHRA_PRADESH,1960,34.26842105,32.35789474,53.2,32.07,30.248634,58.55578947,58.25789474,36.4,40.31684211,36.4,205.83,26.149395,40.31684211,96.71421053,71.45536,113.5531579,38.81407921,0,0,0
WEST_BENGAL,1960,0,30.980791,41.971,49.4722,23.196568,0,51.71363,0,0,0,293.08038,27.9509,36.4344,0,80.6379,0,0,0,0,97.254
MADHYA_PRADESH,1960,29.58837209,27.49302326,37.344186,48.9072093,42.064087,48.8944186,40.92093023,35.31162791,35.73325581,35.31162791,314.377907,26.149395,35.73325581,81.31581395,71.45536,95.08069767,39.40190263,0,0,0
GUJARAT,1960,39.76111111,39.72777778,51.8388889,33.32222222,21.99657,60.53888889,44.49444444,44.95555556,43.35555556,44.95555556,111.7333333,28.40555556,43.35555556,99.91111111,91.8,108.6333333,75.60555556,0,0,0
TAMIL_NADU,1960,35.125,35.04166667,60,41.36666667,39.67956,51.78416667,56.73333333,34.96666667,44.10083333,34.96666667,190.4466667,26.149395,44.10083333,90.7425,71.45536,109.14,39.16742767,0,0,0
MAHARASHTRA,1960,34.752,34.58,52.748,40.724,33.86561,59.808,38.94,40.612,44.724,40.612,219.532,37.752,44.724,98.104,88.92402,103.712,63.02,0,0,0
KARNATAKA,1960,38.76842105,31.08421053,59.1157895,50.10526316,39.250885,59.58421053,72.44736842,36.21052632,51.07210526,36.21052632,263.9826316,26.149395,51.07210526,90.15647,74.37574,96.83736842,52.39684211,0,0,0
BIHAR,1960,0,32.05782353,48.9341176,42.01882353,19.57252941,50.53,33.52882353,0,39.66329412,27.96647059,363.5743529,32.458,40.43923529,90.35647059,79.78794118,0,39.66329412,0,0,70.20941176
HARYANA,1961,31.09333333,31.1815,43.77,44.84181233,31.98077517,53.39587867,36.47166667,36.83833333,38.13466667,36.83833333,168.8546667,31.90533333,38.13466667,85.49466667,74.782,90.91666667,38.13466667,0,0,0
PUNJAB,1961,38.429,32.9041,39.729,44.595,30.0022,47.2020136,37.208,35.063,37.3273,35.063,187.085164,28.542,37.3273,86.9147,70.8519,75.154,37.3273,0,0,0
ANDHRA_PRADESH,1961,37.23684211,29.33157895,52.9,29.58947368,35.178436,54.87684211,59.72105263,37.86842105,44.34105263,37.86842105,207.2042105,26.712036,44.34105263,88.35894737,69.17801,93.86368421,40.63608005,0,0,0
MADHYA_PRADESH,1961,31.64651163,25.57906977,42.6674419,45.85511628,58.99689,48.93976744,39.98372093,36.71395349,37.4127907,36.71395349,265.6006977,26.712036,37.4127907,86.6655814,69.17801,103.9811628,41.66160174,0,0,0
RAJASTHAN,1961,12.93076923,12.26923077,16.9961538,49.3897515,35.178436,67.07171365,29.25384615,15.01153846,37.93187342,15.01153846,243.8459927,33.58738,37.93187342,100.0840873,87.47310431,171.2859521,30.95554115,0,0,0
WEST_BENGAL,1961,0,34.09858,43.20334,50.875996,30.161968,0,57.152,0,0,0,378.43765,34.751988,42.571096,0,78.782246,0,0,0,0,82.452
TAMIL_NADU,1961,36.00833333,34.525,65.9,36.3375,44.636158,53.11666667,57.925,35.05,48.54916667,35.05,183.7508333,26.712036,48.54916667,94.9775,69.17801,100.395,40.67983392,0,0,0
GUJARAT,1961,39.30555556,30.19444444,53.6,37.97777778,28.453543,62.1,42.18333333,43.32222222,45.15555556,43.32222222,109.3888889,25.66666667,45.15555556,104.7444444,75,117.8055556,65.7,0,0,0
UTTAR_PRADESH,1961,30.46083333,31.13689583,39.5545833,43.68979167,22.0724375,46.7499375,26.1,36.76770833,33.38220833,36.76770833,93.85382,28.12314583,33.38220833,99.22633333,73.07935417,79.35912,33.38220833,0,0,59.68041667
ORISSA,1961,33.20538462,27.72307692,45.3730769,41.63384615,46.29076923,53.24692308,44.84,36.93076923,38.813,32.40461538,237.8615385,0,39.57846154,87.90384615,72.11692308,101.0276923,38.813,0,0,114.49
