STATENAM,YEAR,YWHEAT,YRICE,YMAIZE,YJOWAR,YBAJRA,YSUGAR,YPOTATO,YGNUT,YBARLEY,YTOBAC,YGRAM,YTUR,YRAGI,YSESAMUM,YRMSEED,YCOTTON,YOPULS,YSOY,YSUNFLWR,YJUTE
BIHAR,1962,11.7879807,14.0212036,16.4817545,0,0,49.3408155,149.6252049,0,9.0367802,8.4138481,9.0596586,12.7058079,8.2484834,5.5247826,8.2796371,0,0,0,0,9.2495836
TAMIL_NADU,1962,0,19.0366008,7.4352958,9.5596284,6.9652467,74.3278738,0,13.3576018,0,11.1346788,5.2162587,6.762278,0,3.9356989,0,1.9074435,3.3815743,0,0,0
MADHYA_PRADESH,1962,28.0500896,21.78222,42.3675616,33.352748,11.4240526,113.0393007,503.2833334,19.3579627,34.5042713,21.0166666,24.0871127,35.2489299,0,7.668276,0,1.5293774,17.2515815,0,0,0
ORISSA,1962,6.4215675,10.7854432,8.4365936,6.566828,6.3656418,59.7904131,36.0276788,12.9565938,0,6.1052089,5.0897103,5.9926744,7.9789448,5.4298761,6.0146347,7.8609257,0,0,0,14.6006291
WEST_BENGAL,1962,10.3144197,14.8295851,8.3,0,0,65.305122,123.3190518,0,6.7846461,7.23,7.6558912,0,0,0,5.1574007,0,0,0,0,20.2721047
UTTAR_PRADESH,1962,38.1711534,35.0874654,40.6830973,27.9454735,30.5566378,152.3876732,313.0547043,43.067798,34.1078994,0,30.2638772,68.3192428,0,7.8963226,16.0103704,0,31.7528584,0,0,48.6631973
ANDHRA_PRADESH,1962,2.6396757,22.145723,15.7908161,9.6111592,10.702959,154.6687243,0,13.8873231,0,12.686241,6.6219439,5.5729438,0,4.6875207,0,0.8469727,3.9061506,0,0,0
KARNATAKA,1962,2.6140323,26.7369241,3.9683154,7.4833839,4.1398118,133.3068914,0,12.8698916,0,15.3331916,5.3107062,8.314695,0,0,0,1.0190101,4.9917899,0,0,0
HARYANA,1962,7.542231,6.7459349,5.124718,1.0395972,2.2585809,16.0507725,70.750013,55.6313332,4.2021888,6.8771926,3.5885524,5.8048724,0,2.0452662,3.308773,1.3153088,2.9669152,0,0,0
MAHARASHTRA,1962,11.3219117,17.7421059,0,12.48859,5.4172658,95.1788837,0,15.0300621,7.7941986,7.3437308,11.0206888,14.0514708,0,6.1752242,0,2.392569,14.8497406,0,0,0
GUJARAT,1962,14.9295754,12.3776322,17.4408689,6.8231536,7.3969338,75.4026195,0,9.7500926,4.6833333,7.9689054,8.3514303,9.9368122,0,3.265291,1.3376957,3.1022489,4.9688146,0,0,0
PUNJAB,1962,11.7698737,10.8128096,7.3901653,2.7967981,4.9701957,31.6705071,163.108295,38.72929,9.9189163,136.0850156,7.4670269,9.0109894,0,3.6381074,5.5604006,2.4952404,5.3627961,0,0,0
RAJASTHAN,1962,22.3144952,11.4556741,21.6467372,7.9849858,7.9596546,34.5817333,0,10.7261858,27.5110012,9.5924242,10.6245754,6.6023424,0,3.2585005,6.8777853,1.7861718,7.0357924,0,0,0
MADHYA_PRADESH,1963,24.0894322,29.6667517,53.3860805,33.1945491,14.313635,108.5948085,503.2833334,25.5131518,34.5042713,22.25,21.0770832,35.2489299,0,6.861763,0,1.8603252,17.2558435,0,0,0
WEST_BENGAL,1963,8.256622,17.3723009,7.62,0,0,63.5709782,90.409699,0,4.61,7.21,6.59,0,0,0,4.3,0,0,0,0,19.561785
PUNJAB,1963,12.49643,9.8361804,13.3149596,3.4948306,8.7104595,31.8674467,158.099459,25.494101,10.1568016,45.5415067,6.8884126,9.0109894,0,4.0602631,2.9891021,2.535859,5.4671162,0,0,0
RAJASTHAN,1963,20.4933916,9.7059734,16.3096606,5.2262696,6.2123015,27.9613591,0,10.0548637,26.0256705,8.8833332,8.0402222,6.6023424,0,1.7562075,1.9040146,1.5977243,4.0188407,0,0,0
ANDHRA_PRADESH,1963,3.3188168,23.5195781,13.4996134,10.3117101,11.5355227,151.5038584,0,13.9653131,0,16.2343023,6.8545674,5.5729438,0,4.0408044,0,0.7901183,4.1204345,0,0,0
UTTAR_PRADESH,1963,33.0259898,36.9821555,35.8483039,26.4828355,31.2035163,168.0788316,220.8594626,37.4815383,28.7314983,0,26.2693213,68.3192428,0,14.9663257,13.0485918,0,20.5623199,0,0,45.5175714
KARNATAKA,1963,3.8918802,26.29736,3.455648,6.8731945,4.6553141,149.0871201,0,12.4336936,0,15.9193715,4.996523,8.314695,0,0,0,0.8246952,5.6126062,0,0,0
ORISSA,1963,7.1951216,12.9331867,8.2985438,4.3846523,8.4422327,60.3077028,38.1407703,14.2803793,0,7.1957019,5.5155864,6.5568619,7.2295439,3.4080361,4.2685379,4.8717921,0,0,0,15.6562563
TAMIL_NADU,1963,0,18.2178072,6.1,8.1178242,6.7074489,74.4164413,0,13.3470938,0,11.1705638,4.548128,6.762278,0,3.4729732,0,1.6682242,3.2759699,0,0,0
HARYANA,1963,7.2673783,9.7710867,5.6255988,0.9198438,2.3088679,22.5369314,69.009909,17.6206623,4.3250213,7.4824735,2.8701313,5.8048724,0,2.4946773,1.2060075,1.3967497,3.0418259,0,0,0
MAHARASHTRA,1963,9.2897496,21.5100199,11.023127,12.3555798,5.738799,110.6719399,0,14.4967482,7.5907789,5.9412202,7.5341215,14.0514708,0,5.255173,0,2.6687326,15.4050095,0,0,0
GUJARAT,1963,14.1492546,14.7502788,14.9174574,6.4360861,8.6465655,85.3173087,0,11.3135011,5.4367817,7.4774379,8.8618568,9.9368122,0,3.3448569,2.6233627,2.3693862,5.0372016,0,0,0
BIHAR,1963,10.8669851,14.361615,19.2367971,0,0,63.6630441,126.0577404,0,10.5679702,11.8833078,7.7366838,11.6182583,10.3605562,5.1481375,5.8865271,0,0,0,0,10.5386183
ANDHRA_PRADESH,1964,2.8928515,26.5866136,23.0375119,8.6632079,8.7213353,152.3357275,0,14.9842142,0,19.347111,6.923325,5.5729438,0,3.5887906,0,0.8258715,4.65324,0,0,0
MAHARASHTRA,1964,10.6594609,22.3463442,10.5483844,12.9682982,5.5309213,107.805121,0,15.941359,10.880126,6.2052992,8.4347974,14.0514708,0,5.1820605,0,2.0504239,14.5513212,0,0,0
ORISSA,1964,7.0041966,13.0765538,9.9057986,3.5429348,3.9900387,59.863955,83.8236642,9.5099741,0,9.4927109,6.2418025,7.9519618,5.6357375,4.7103508,5.7275972,12.9364575,0,0,0,12.4837673
GUJARAT,1964,16.1899438,14.6876703,21.5834244,6.9959577,9.8362907,91.974345,0,12.5683893,9,6.9036429,9.5605983,9.9368122,0,3.3834249,1.2799723,2.7025311,5.131182,0,0,0
PUNJAB,1964,14.9679891,12.2224154,11.647433,4.5571747,5.179982,35.8924716,157.941412,72.8516319,13.3229586,54.3317496,9.53262,9.0109894,0,3.7635776,5.8746513,2.5834005,6.1521405,0,0,0
HARYANA,1964,7.6890232,8.168927,5.3069058,1.5961594,2.1035672,25.4619932,77.833333,23.6500082,6.194878,7.8849558,5.026512,5.8048724,0,3.1862745,2.5661132,1.3982089,2.070685,0,0,0
WEST_BENGAL,1964,9.4599846,18.0131018,9.07,0,0,65.8756897,140.1136541,0,5.9134014,5.39,6.7265633,0,0,0,4.8964883,0,0,0,0,22.7785832
BIHAR,1964,10.799013,15.6860241,13.9001353,0,0,66.4746072,127.101211,23.1426243,8.6026776,13.8494547,9.0956722,13.9512517,8.6711773,6.2108374,6.6067364,0,0,0,0,10.2254319
UTTAR_PRADESH,1964,49.2581949,36.5018243,38.6460806,33.4704066,34.4853987,186.4978762,428.6515935,44.8328559,43.8181758,0,35.1006386,68.3192428,0,18.8241844,23.4823138,0,35.8504216,0,0,50.8363388
KARNATAKA,1964,2.7120087,27.8603713,4.4231354,9.2748575,5.6948384,132.482564,0,15.5622252,0,9.4786349,5.3392719,8.314695,0,0,0,1.1098438,5.0530665,0,0,0
TAMIL_NADU,1964,0,18.1642912,6.4004329,8.6518571,6.5254976,81.9739579,0,12.020884,0,12.1998014,4.9826347,6.762278,0,3.4198387,0,2.0758634,3.266829,0,0,0
RAJASTHAN,1964,25.1666729,9.1393169,26.6140323,6.5565594,7.3446931,23.57088,0,12.2496788,25.6811668,13.57877,10.6534853,6.6023424,0,2.5979787,6.2919477,1.9005591,4.7649732,0,0,0
MADHYA_PRADESH,1964,26.8616671,30.0973911,48.6891749,39.4923519,16.0980639,115.1760891,503.2833334,37.7454572,34.5042713,19.5,23.2698886,35.2489299,0,6.3304063,0,2.4535249,19.8258557,0,0,0
KARNATAKA,1965,1.724994,20.7126537,4.1993244,8.0887772,3.1518023,129.0703308,0,10.5842568,0,8.0741187,4.5228353,8.314695,0,0,0,0.5647531,5.9533768,0,0,0
