STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
KARNATAKA,1963,93.1,1511.1,10.9,1428.9,173.9,697.7,0,539.39,0,23.08,40.09,181.318,0,0,0,62.58,112.97,0,0,0
ORISSA,1963,8.169,4308.474,7.024,4.044,2.153,195.211,109.2,70.375,0,3.427,13.123,22.071,44.423,27.19,22.092,0.663,0,0,0,65.83266
TAMIL_NADU,1963,0,3846.4,2.7,572.2,293,574.27,0,1108.51,0,21.04,1.09,77.932,0,35.2,0,64.77,106.79,0,0,0
HARYANA,1963,813.712,223.751,158.6,46.063,232.675,518.186,60.455,10.005,56.899,1.119,609.63,27.958,0,0.61,40.438,48.57696,36.375,0,0,0
MAHARASHTRA,1963,342.1,1509.6,19.1,3202,471.3,1099,0,780.6,162.2,9,115,436.3,0,26.8,0,257.8,360.2,0,0,0
GUJARAT,1963,362.8,399,252.4,428.1,774.3,148.2,0,1266.6,58.1,77.1,61.2,206.865,0,22.9,19,239.9,45.7,0,0,0
BIHAR,1963,417.208,4560.993,892.8,0,0,516.465,678.788,0,207.155,11.893,249.736,122.439,106.819,9.55,27.459,0,0,0,0,209.91438
ANDHRA_PRADESH,1964,4.4,4387.3,256.6,1131.9,285.7,981.33,0,905.08,0,135.21,24.25,67.234,0,35.42,0,26.59,311.16,0,0,0
MAHARASHTRA,1964,407.6,1451.1,19.8,3259,478.2,1206.9,0,840.4,188.9,7.6,121.2,436.3,0,26.7,0,228,351.6,0,0,0
ORISSA,1964,7.208,4420.209,17.667,2.016,1.613,200.03,198.193,45.762,0,6.314,9.977,22.208,35.99,37.071,25.711,1.054,0,0,0,61.9605
GUJARAT,1964,416.3,471,303.6,407.5,888.3,237.7,0,1653.4,61.2,90.5,47.4,206.865,0,22.7,14,280.9,47.1,0,0,0
PUNJAB,1964,2428.032,343.047,453,2.291,62.604,411.2,183.1,154.56,72.414,0.931,649,34.733,0,5.034,54.3,144.99,31.914,0,0,0
HARYANA,1964,899,258.865,125.3,47.6,269.9,674,67.4,7.64,98.8,1.5,1036.6,27.958,0,0.716,73.6,47.502,23.3,0,0,0
WEST_BENGAL,1964,27.9522214,5758.364811,32.572,0,0,189.5764,795.8011522,0,18.0921361,12.639,78.0131315,0,0,0,36.0582783,0,0,0,0,656.25552
BIHAR,1964,417.828,4913.743,592.392,0,0,685.988,719.848,6.936,178.055,10.917,281.492,138.799,96.629,8.027,32.01,0,0,0,0,164.99196
UTTAR_PRADESH,1964,3942.908,3247.711,892.6,565.256,694.262,5623.941,1063.381,343.023,1439.206,0,1926.892,762.109,0,15.823,88.672,0,1021.547,0,0,29.47536
KARNATAKA,1964,107.7,1751,12.8,1551.1,115.5,674.8,0,662.31,0,19.85,59.74,181.318,0,0,0,92.42,99.81,0,0,0
TAMIL_NADU,1964,0,4036.1,3.2,551.7,278.5,806.04,0,919.92,0,23.19,1.35,77.932,0,30.26,0,64.34,107.84,0,0,0
RAJASTHAN,1964,1103.4,98.2,849.9,410.9,1271.8,60.5,0,100.9,461.5,5.9,722.1,7.411,0,59.9,79.2,34.1,13.9,0,0,0
MADHYA_PRADESH,1964,1977.6,3478,549.6,1724.8,141.7,179.4,337.668,342.08,138.631,2,844.1,417.363,0,48.22,0,88.23,508.6,0,0,0
KARNATAKA,1965,46.9,1240.1,10.5,1310,121.6,695.84,0,432.66,0,12.58,53.22,181.318,0,0,0,45.27,94.68,0,0,0
MAHARASHTRA,1965,304.5,882.5,22,2328.6,330.3,1052.6,0,450.1,107.8,5.4,78.5,436.3,0,27.2,0,180.6,262,0,0,0
UTTAR_PRADESH,1965,3565.225,2226.949,995.199,443.444,577.103,5575.5423,1295.516,344.461,1400.278,0,1560.561,762.109,0,16.4600768,84.5109238,0,883.929,0,0,33.37794
HARYANA,1965,875.1,204.208,190.3,29.534,190.042,726.181,111,23.056,150.1,1.2,376,27.958,0,0.577,67,48.6459,23.56,0,0,0
ORISSA,1965,10.253,3286.248,28.684,1.747,1.74,229.631,287.325,58.448,0,6.314,6.56,12.53,52.648,24.463,16.824,0.605,0,0,0,37.58472
MADHYA_PRADESH,1965,1326.6,1698.7,477.8,1312.4,166.3,184.1,337.668,264.41,138.631,2.08,846.6,417.363,0,53.5,0,55.94,348.9,0,0,0
RAJASTHAN,1965,785,25.6,642,292,940,94.3,0,70,448,2.4,414,7.411,0,56,72,31.5,13,0,0,0
ANDHRA_PRADESH,1965,2.1,3360.7,182.3,1010.7,240.3,879.52,0,721.18,0,113.51,17.47,67.234,0,35.34,0,15.24,245.9,0,0,0
